id,review,category
1,my favourite game love it  lots of fun and lot of players ,OTHER
2,alright but not intuitive too difficult to use. the buttons need to be more intuitive.,USABILITY
3,please fix would give 5 stars but on fiances phone it won't update it says error. please fix!!!!,BUG
4,freeze freezes right after i try to make video call  goes offline itself within few minutes of being idle does not work in backgrnd. .plaz fixxxxxxxxx. .,BUG
5,fast and speed application,OTHER
6,fun widget good selection of hilts and colors.,OTHER
7,? this is cool. but .. u.mmm. do you know how to download mcpe 0.9.0,OTHER
8,simple to use good and simple to use,OTHER
9,i love it but bugs not fixed pls fix it...,BUG
10,disappointed freezes on start n letters dnt show. #refund,BUG
11,good application best news application  it should add a feature of notification also @-}--,FEATURE
12,an excellent offline rss reader on my nexus 7. a solid  simple  lightweight reader. the only feature i miss compared with my desktop reader is the ability to group feeds in folders. thanks are due to the author.  this is an open source program and there are similar apps based on it. if you have one of these installed  as i had  uninstall it first or you get a 'duplicate' error.  this is not a web-based reader like google reader  but you can import your feeds as an opml file.,FEATURE
13,unable to sign in with facebook i like to play this game but am not able to sign in with facebook. when i touch  the facebook icon it just shakes then freezes and then just kicks me out of the game. how can i fix this problem or can the developers please fix?? if the problem can be fixed i will give more stars. please help me!!! ?,BUG
14,needs updating again ! i thought the app was all good but it started the same thing as before all over again needs speed improvement and the bugs need to be fixed ! the app wont even pull up please fix !,BUG
15,dont waste your time !!! .doesnt load well ! .always freezes ! .too many pop up ads ! always deletes all my other apps after it has frozen !,SECURITY
16,:/ i am still confused on how this works maybe make it  easier to understand,USABILITY
17,ok i guess just fix the start up bug it is getting annoying,BUG
18,pretty good the app is pretty good  but the new sms feature is not acceptable.  i was very excited when i saw the update  but now i am disappointed. it works in its very essence  but even then it's very clumsy. things like only allowing the text being sent to one person  not allowing the ringing the editing of the recipient after initial insertion  etc. the text messages take forever to actually be sent. plus  it's an eyesore compared to the rest of the app. the cursor and send button are white on a white background and so are difficult to see...at least make it black to match. it's clear to me that they threw it in last second without much testing.,USABILITY
19,not good not bad using htc desire 500 calls r recorded if calling from sim 1 only if calling from 2nd sim dan calls r not recorded.... please fix ds bug asap...,BUG
20,cant play it in my phone after playing it takes too much memory in my phone after playing it for a couple of days it goes forced close when the start button appears... fix this bug,BUG
21,absolutely wonderful! has all the features of premium antivirus absolutely free....  cool ui high privacy boosts spped.  excellent app... a mostwanted app for android devices. ..  the one and only drawback is lack of themes... i got bored of the white theme... could use more creative themes..need a more good looking tray in the notification panel...    keep yp the gud work (y) ..!,FEATURE
22,htc one s great app  with nice and various widgets. thanks!,OTHER
23,any time avialable for read the bible;very good app. superb app,OTHER
24,straightforward  useful very useful for what it should do  and the basic functionality is great. i do like the any.do moment feature  which asks you to plan out your day. the interface for the companion calendar  cal  is incredible  while any.do is just decent - nothing special. the big complaint i have  then  is a lack of sub-tasks  and a relatively difficult interface for viewing or editing anything more than a task title (e.g. notes or locations or reminders are all a tad difficult to access). overall  though  not bad at all,USABILITY
25,my go to weather app after trying other apps  i keep going back to this as my go to weather app. efficient use of battery  great visuals  and beautiful widgets. i tried to get the temperature over seas but it wouldn't let me  that would be my only concern  but i can find that elsewhere if pressing. great job! using paranoidandroid 2.53 on samsung vibrant.,FEATURE
26,the app is good for 30 seconds... it's not only the app that has some serious bugs  it's also the website & mobile view. i keep having to force close the app after 30 seconds. i have this app on my s4 - nexus5 - note3 all facing the same issue.  the app is  seriously suckish guys fix it  and fix your website aswel. it's like you guys are paying for the wrong staff? f**k all the design bs it looks alright. focus on all your optimisations  some fixes are just seriously basic!,BUG
27,4 stars .. interesting app. but lack some photo editing features,FEATURE
28,? have no idea how to feed dragon and boooorrrriiiiiinnhgggg,USABILITY
29,terrible horrible graphics. tutorial takes forever. takes forever to load  frequent disconnects. force closes many bugs and glitches. sever is almost dead. extremely unbalanced. you always get attacked by someone with way higher rank than you. updates are non existent. looks like developers gave up on this one. don't download! this game is just awful. too many ads.,BUG
30,great but.... great  but decrease alot of battery life on my ace 2,ENERGY
31,last update good job but error after last update please fix it soon,BUG
32,amazing. this app is perfection. 5.0 is insane.,OTHER
33,issue with sound and video i'm using a spice mobile. when i use the vlc app  the sound is fine but the video freezes every 25 to 30 seconds and after few seconds video playing but sound and video mismatch.,BUG
34,ya this is great.,OTHER
35,excellent does what it says and is easy to see in bright sun.,OTHER
36,it freezes evertime i open it pls fix it,BUG
37,i love it  but... i use smart launcher for months  i love how it consume less memory than other launchers and without lack of features. but one thing that bothers me sometimes is that the screen transition between home screen and the drawer is not smooth enough. i hope you guys see my review and get it done. overall  5 stars!,USABILITY
38,beautiful widget. only problem i think is inspite of turning gps off  the app is continuously using it as shown by my battery usage statistics.,BUG
39,whoah :0 i love the show i love the app though i suck if only it were easier to get more coins. i have had some irritating issues with the app though. when a play a song i just bought it sort of freezes and if i get out of the app and back in it doesn't count it like i had play it  so it doesn't give me coins and its happened more than once  that part gets annoying to me.,BUG
40,no copy text feature this app is good  but i just wish it would allow me to copy text from pdfs.  sometimes i need to paste text from a pdf document into a word document.  i find this lack of functionality quite frustrating.  if the developers add this feature i would give this app 5 out of 5 stars.,FEATURE
41,save to sd card i checked the option to save to sd card however it still saves to internal memory??,BUG
42,great verry productive and usefull app,OTHER
43,yep cool game this game is awsome.,OTHER
44,new update not working well the app won't let me log in to my facebook. it freezes my phone n the have to restart my phone. before the update it did work. now it doesn't,BUG
45,front camera it is upside down!,BUG
46,excellent app.  clean and easy to use. ?,OTHER
47,good for unreliable connections. ui needs work the only android client to implement xep-0198  for reliable messaging over unreliable connections. this requires support from your xmpp server -- e.g prosody with the unofficial mod_smash module -- and your colleagues im clients -- e.g. gajim  and gibberbot itself. many of the most popular xmpp servers and clients still lack this critical feature (looking at you  ejabberd  pidgin  xabber). it would be good if other software projects started to take these stream management extensions more seriously  especially as gtalk  with its proprietary stream management  looks like it's biting the dust. we need clients gibberbot (and gajim etc) to get things moving on this front. there are issues with gibberbot. the ui needs work (e.g. the formatting of the chat window changes randomly when scrolling up and down; the background image can be corrupted when touching the screen; there is no option to select a different notification sound  and notifications don't always work with open chats)  and sometimes it takes time to negotiate a connection. xabber has a better ui (and is gpled  hint hint)  but if you must have reliable and secure xmpp messaging on the move  this is currently your only choice.,USABILITY
48,not working when i download it it always has an error... ggggggrgrrrrrrrrrrr!!!!!!!!! could you please fix it? if you will then i will give you 5 stars...got it!,BUG
49,live view freezes after taking the shot the live view freezes. everything else keeps working and i can take more shots but the live view stays on the first shot.,BUG
50,game this game is kool!!!!,OTHER
51,good i lives the challenging mini games. and the frogs were pretty cute! :),OTHER
52,hmm actually i do ot like tattoo but i will try..,OTHER
53,major errors i like this game but having some problem unexpected stop in wave & now in missions also. fix it i give u 5 star for this game.... now its stop in every mission,BUG
54,love it! makes it easy to check for deals daily.,OTHER
55,battery drain after new update  it drains my battery,ENERGY
56,awesome app ! this is excellent.  it's a great app killer and  memory cleaner.  perfect.  exactly what i was looking for.,OTHER
57,laggy it keeps lagging on me and i keep dieing cause it freezes and everything just wizzes by,PERFORMANCE
58,amazing very good app and interesting . the best app for sports,OTHER
59,no new features in a year... i've switched to timely due to lack of development on this.,FEATURE
60,great game great game love to play download and give it a try,OTHER
61,bad for battery i had to revise my rating. it sucks too much battery.  i have 50% left and before installing i would have 80-90% left.,ENERGY
